participant,file_path,timestamp,emotion_sentence,familiarity,valence,arousal,timestamp.1,annotation_order,total_annotations,timestamp_imputed,start_time,end_time,rms,zcr,harmonic_ratio,percussive_ratio,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_mean_6,tonnetz_var_1,tonnetz_var_2,tonnetz_var_3,tonnetz_var_4,tonnetz_var_5,tonnetz_var_6,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,self_similarity_mean,self_similarity_var,mfcc_motion,mfcc_accel,repetition_contrast,timbre_stability,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_mean,spectral_flatness_mean,spectral_contrast_mean,spectral_contrast_var,spectral_complexity_mean,pitch_mean,pitch_std,pitch_range,onset_density,bpm,num_beats,danceability,key,scale,key_strength,pitch_range.1,num_notes,pitch_yin,pitch_salience,vibrato_extent,inharm_mean,inharm_var,dissonance_mean,dissonance_var,num_chords,harmonic_percussive_ratio,chord_root,chord_type
_0sca4vavd,antoniosanchezdoorsanddistancebirdmansample2mp3.mp3,7.90160053894562,"Where i placed the marker the feeling becomes slightly happier as its a funky sound, but it's quite subtle in terms of energy.",familiar-feeling-not-familiar,0.744921875,0.1884765625,7.90160053894562,0,1,7.90160053894562,6.90160053894562,8.90160053894562,0.019115042,0.0899622922687861,0.6170384,0.43783852,0.0984567675342964,0.0166928884989563,0.0514178433747677,-0.0348364759734098,-0.0257302863690725,-0.0140311015391206,0.0037598110483892,0.0016529235822854,0.0057539219646879,0.0065344291224549,0.0013564792673165,0.0006070122203463,-970.6923,101.194595,49.89941,25.879694,9.3057,9.039862,5.826528,3.057152,0.34018412,3.3755448,-1.1525465,0.48458573,0.39930812,20200.678,2225.4934,669.2599,321.5623,218.24942,220.3267,221.7177,168.0748,98.73111,90.784676,53.87936,44.042805,48.084698,0.995901,1.3692566e-05,10.07844,11.665608,0.098814994,0.09922171,4013.4292392073,627895.638231709,2970.09698275862,0.152821559212759,-5.739306,0.3292988,1.22413793103448,517.697937011719,359.30810546875,935.963684082031,9.0,104.4140625,3,0.574693918228149,5,1,0.744028091430664,65.7664642333984,52,237.017327048562,0.497444636357779,16.5576019287109,0.119691137834624,0.009113705346674,0.348926033697684,0.0040369788492434,2,0.6347757,8.0,0.0
_0sca4vavd,dickonhinchliffeoctopusthelostdaughtersample1mp3.mp3,6.36588523437981,"the first dot it has a curious feeling, like sneaky, at the second region/dot it turns and become very subtly more sinister.",never-heard-this,-0.535078125,0.1784765625,6.36588523437981,0,2,6.36588523437981,5.36588523437981,7.36588523437981,0.24026555,0.0101748780708093,0.91262907,0.13877122,-0.0331936587963519,-0.022684959510662,0.0959962856645187,-0.266262949718758,-0.0097072422887451,0.0520721906023658,0.010908806923842,0.0272543741605286,0.0114281370642245,0.0071639996177701,0.0023835790058295,0.0018954990073124,-691.79065,187.51634,41.036663,39.682034,22.250582,11.662455,14.943589,11.547005,1.4364882,5.0795083,-2.9641688,1.7809715,-5.126454,2593.7205,634.89777,418.47363,209.25177,103.208244,53.55259,71.24046,71.93303,125.20467,56.869904,32.931942,37.944363,40.36783,0.99688834,3.54367e-06,6.5841503,7.6869326,0.15140729,0.15187989,4500.91058700386,624472.662053531,181.670932112069,0.0361190387368973,-4.6817594,0.06275475,11.3448275862069,150.601898193359,20.779275894165,85.4961395263672,75.5,154.302093505859,5,0.362811774015427,11,1,0.848316848278046,89.0427093505859,52,115.260097720406,0.37916140105914,19.3536758422852,0.084168062078375,0.0065328908702363,0.393377255049431,0.0032548058955957,4,0.92209244,3.0,1.0
_0sca4vavd,dickonhinchliffeoctopusthelostdaughtersample1mp3.mp3,0.0932790501083397,"the first dot it has a curious feeling, like sneaky, at the second region/dot it turns and become very subtly more sinister.",never-heard-this,0.534921875,0.1934765625,0.0932790501083397,1,2,0.0932790501083397,0.0,1.09327905010834,0.19378826,0.0150774476156069,0.8985419,0.16160299,-0.0506409392781408,0.150076297959531,-0.0432730727239544,-0.22148054858364,-0.0250399029181646,-0.121761544968904,0.002680162606609,0.0119674586537525,0.0077679742410082,0.0269769281410637,0.0013550384142868,0.0012484337705166,-735.9344,202.95921,56.80938,27.347118,14.303954,5.420577,3.4748046,18.137402,11.355971,10.830508,-13.03499,-4.9210014,-13.244582,1858.1292,1001.529,591.0152,264.37555,181.05801,56.31649,53.628826,122.602486,156.47,64.380714,55.938988,163.5852,203.74492,0.99503386,1.1732524e-05,6.851259,7.853536,0.14523372,0.14595857,4486.9283727887,550491.672809424,322.503030711207,0.0319800640633009,-4.8964076,0.05025436,8.31609195402299,114.389533996582,18.6356258392334,71.4313812255859,61.5,166.708679199219,5,0.354104280471802,10,1,0.855021774768829,78.1904067993164,34,126.169766017369,0.203983652659438,19.3881320953369,0.081684912578678,0.0073354811149167,0.348343404580136,0.0054027959871403,2,0.9086808,10.0,0.0
_0sca4vavd,gregoirehetzeltrenteansunamourimpossiblesample1mp3.mp3,2.11012371781792,"the first marker near where something begins, you know from the start its a sad feeling but that solo note feels more lonely and sad and then after the second marker where the next solo note comes in which sounds more delicate it makes it feel even sadder.",familiar-feeling-not-familiar,-0.545078125,-0.5515234375,2.11012371781792,0,2,2.11012371781792,1.11012371781792,3.11012371781792,0.20455196,0.0113433661488439,0.9228903,0.13926093,0.485287993581811,-0.138697740028794,0.566887960147951,0.256495579019907,0.115397189211248,-0.164079713728401,0.0193089165138549,0.0171238438902808,0.0112252359037941,0.0055588036224581,0.0023886936316417,0.0054961729072021,-841.6951,302.6231,43.998074,19.103258,-7.405681,-10.667075,-3.1034203,-5.865251,-14.644957,-9.272661,-11.658568,-5.482146,-6.270633,5075.2573,1733.7017,107.03978,65.58393,28.659702,70.12054,53.304726,36.139343,27.50346,26.2249,35.15308,62.320988,41.343616,0.9958642,2.5317626e-05,6.253288,8.491143,0.15925449,0.15991588,4118.10872465989,359948.278618823,315.696558459052,0.0126699036771389,-5.366458,0.1364959,9.01724137931035,183.362777709961,14.0960092544556,46.177978515625,48.0,172.265625,5,0.336689323186874,4,0,0.862906992435455,106.651840209961,29,177.776265404441,0.538709858940406,18.7464237213135,0.20215444418136,0.0120476612258167,0.339312492785129,0.0028674829294185,4,0.91833407,7.0,0.0
_0sca4vavd,gregoirehetzeltrenteansunamourimpossiblesample1mp3.mp3,10.2134301362587,"the first marker near where something begins, you know from the start its a sad feeling but that solo note feels more lonely and sad and then after the second marker where the next solo note comes in which sounds more delicate it makes it feel even sadder.",familiar-feeling-not-familiar,-0.730078125,-0.7165234375,10.2134301362587,1,2,10.2134301362587,9.21343013625866,11.2134301362587,0.024075106,0.0190740155346821,0.93556124,0.12186759,0.623999289883648,-0.194019932654245,0.591290976811887,0.390858403976854,0.165483213229652,-0.243439768495838,0.0020107371428164,0.0064308670732256,0.0014557335411597,0.0018212009805055,0.0025099345191681,0.0002900596795832,-1020.4894,254.72667,94.0244,-2.0153832,-19.694244,-7.458493,4.4415855,7.895645,5.90603,2.107068,-9.511053,-25.355915,-28.898825,836.7516,146.3192,648.21405,121.41378,101.34192,48.576565,25.36263,46.200657,48.7775,40.24109,22.202099,83.44396,82.661934,0.9987708,1.5753064e-06,4.26389,5.337194,0.23423935,0.23452763,4764.08731535111,308710.422846526,592.039331896552,0.0193469351071907,-6.2798285,0.0639757,3.98275862068966,783.551574707031,1.35466909408569,4.51556396484375,0.5,90.6661148071289,2,0.661768734455109,4,0,0.814547777175903,9.05731201171875,3,397.506864114241,0.396931465545839,1.71167719364166,0.214733990607783,0.0109251697375592,0.278869693590836,0.0135009175322572,1,0.9702463,4.0,1.0
_0sca4vavd,itllallbeoverthesupremejubileesmoonlightsample2mp3.mp3,11.2168956473015,"very relaxed vibes overall, but i know this song very well and it brings a bittersweet feeling to me, at times i hear it slightly sad, at times its slightly positive but it's very peaceful and sleepy. ",definitely-familiar,-0.230078125,-0.8965234375,11.2168956473015,0,2,11.2168956473015,10.2168956473015,12.2168956473015,0.2408909,0.0375863665101156,0.7805843,0.28732362,0.34370684260219,0.0228446068061546,0.0962322680220415,-0.0570602111839056,-0.0189211249771274,0.0171247135394406,0.0049060421885828,0.0111240789321249,0.0016178495606976,0.0417638269872094,0.0096925510010802,0.0010040275543866,-583.99,175.47285,-6.2966766,-9.73438,-0.76332617,-19.928024,-9.826277,21.706902,-13.209217,-8.646954,0.15926568,-11.20249,4.433029,4621.248,960.68274,461.09738,599.25616,529.6331,189.00351,196.16107,545.0565,120.39654,75.82571,75.06392,126.0377,54.4962,0.9904217,4.9372706e-05,5.887435,6.973154,0.16822635,0.16985326,4565.70491115526,386199.701293374,959.465079471983,0.0040211558513257,-4.373444,0.068746224,25.0402298850575,303.344665527344,21.4235420227051,140.201232910156,80.0,143.5546875,4,0.398609191179276,7,1,0.812715530395508,282.335845947266,43,244.667970180511,0.537479463964701,113.554901123047,0.146409174596721,0.0046871570419104,0.394993995739655,0.0035732878967466,3,0.79047936,0.0,0.0
_0sca4vavd,itllallbeoverthesupremejubileesmoonlightsample2mp3.mp3,0.149246480173344,"very relaxed vibes overall, but i know this song very well and it brings a bittersweet feeling to me, at times i hear it slightly sad, at times its slightly positive but it's very peaceful and sleepy. ",definitely-familiar,0.204921875,-0.8565234375,0.149246480173344,1,2,0.149246480173344,0.0,1.14924648017334,0.100450195,0.0133726968930636,0.73644346,0.3139651,0.245613166817143,-0.137624623097366,0.181350156272809,-0.129184383595739,-0.0315277818621097,-0.0248920228266251,0.0011551304085038,0.0044384284000481,0.0102493464686938,0.0150137435589448,0.0037210670905393,0.0035271109258361,-758.4855,203.27121,49.067387,24.55814,20.226555,-5.170395,-3.9309216,7.069086,-4.6940184,-1.300995,-6.8887615,-5.639162,3.8505166,2365.3975,268.05014,164.46144,142.96013,127.61045,67.70575,154.39626,108.91254,128.2558,67.529045,57.191345,92.055016,59.188408,0.9976474,3.1475727e-06,6.431136,7.445709,0.1551277,0.15549353,4410.1197488719,401208.97934181505,350.347689924569,0.0043462548383522,-5.004981,0.049793467,8.47701149425287,202.332427978516,11.2476863861084,37.7771606445313,25.5,161.499038696289,4,0.390869230031967,2,1,0.833937466144562,112.380912780762,25,147.357736176136,0.359740412370725,32.6588973999023,0.146463279886281,0.0037124041600865,0.358156338334084,0.0027022473321737,2,0.6744517,7.0,0.0
_0sca4vavd,lovescooterthomasnewmanelementalsample2mp3.mp3,2.54933333333333,slightly sinister feeling but with a hint of curiousity.,never-heard-this,-0.350078125,0.7234765625,2.54933333333333,0,1,2.54933333333333,1.54933333333333,3.54933333333333,0.14494635,0.0249249232297688,0.863433,0.20642798,0.215097135606217,-0.0608070936606905,-0.105732265850885,0.0690487044135127,0.0290419996658063,0.0457463886345215,0.0041887304186887,0.0016311629998055,0.0061566352324519,0.0089726446352029,0.0040820883875175,0.000849640010521,-681.2987,187.4425,16.849075,22.363619,16.961428,3.599278,-12.174347,-3.4100444,-2.6073437,4.8789372,-4.6308727,-9.239153,4.329466,1439.5206,489.37082,255.07428,201.23624,163.66434,146.19858,87.00015,129.81554,158.24902,83.255295,112.44295,88.42992,199.3239,0.99594146,9.526487e-06,6.984191,7.886018,0.1425994,0.1431805,4763.87827555339,477090.521048224,394.651636584052,0.0374085018518327,-4.7750926,0.04934902,12.9597701149425,131.58984375,25.0408897399902,82.4050064086914,73.5,198.768020629883,6,0.311147391796112,9,0,0.870375514030457,88.4754028320313,42,179.199974233454,0.483636107634414,21.806941986084,0.149504812159152,0.0135280931394798,0.4023289301602,0.0024724671351506,5,0.86669654,8.0,0.0
_0sca4vavd,prayerhanszimmerthecreatorsample2mp3.mp3,6.58542146908027,"i think this excerpt sounds quite haunting, it has high energy and almost feels tense but theres something quite other-wordly and holy about it, the second pointer indicates where i felt the tension rising, the feeling becoming more intense and more negetive.",familiar-feeling-not-familiar,-0.400078125,0.3534765625,6.58542146908027,0,2,6.58542146908027,5.58542146908027,7.58542146908027,0.076602265,0.0473576363800578,0.8769821,0.18529947,0.40571160252491,0.17317649680555,-0.246330258693599,-0.0736816602439034,-0.0686602086473298,0.274641293265013,0.001281126758551,0.0017959639576897,0.0028845652323635,0.0015224898472188,0.000808473008969,0.0010487377885933,-721.1562,233.53767,-67.0026,10.5146,-1.2922351,-17.561298,-11.892042,9.08921,-15.408733,-8.844818,-11.168462,0.4375319,-5.8031,652.1815,205.38196,280.17657,70.940834,72.66146,104.62326,82.1858,99.74821,62.50045,89.917725,105.37024,114.81259,192.02454,0.9975387,2.8538066e-06,5.5949936,6.627645,0.1782913,0.17873122,4756.57857960668,217287.81855006,1430.59671336207,0.0137834474176768,-5.0565114,0.015897581,16.0402298850575,256.999908447266,21.4074745178223,79.1465759277344,21.0,97.5088500976563,3,0.615328788757324,2,0,0.824827134609222,171.8974609375,24,208.245922001925,0.517493663186377,72.1444473266602,0.221512551673434,0.0032631314532092,0.402000689836727,0.0036811084701124,2,0.8911889,2.0,1.0
_0sca4vavd,prayerhanszimmerthecreatorsample2mp3.mp3,12.4555743236459,"i think this excerpt sounds quite haunting, it has high energy and almost feels tense but theres something quite other-wordly and holy about it, the second pointer indicates where i felt the tension rising, the feeling becoming more intense and more negetive.",familiar-feeling-not-familiar,-0.605078125,0.7434765625,12.4555743236459,1,2,12.4555743236459,11.4555743236459,13.4555743236459,0.21484123,0.0402281656430636,0.88705015,0.17829992,-0.0114744202696445,0.310035751580629,-0.282944553157447,-0.392211974377371,0.137845947770692,-0.103580411379105,0.03546189640977,0.0054738313062986,0.0036831439294335,0.0150269559774618,0.00563514574038,0.0043510517296004,-587.9414,216.12839,-63.222527,18.012985,-3.7923265,-9.17686,0.035587706,0.3762879,-14.266712,2.0932834,-11.276498,2.0629773,0.040479034,582.4454,131.45857,180.91498,85.42779,99.31174,100.76604,110.78583,91.354416,79.147514,67.4111,101.06067,70.85219,79.71712,0.9971697,3.7801228e-06,5.865353,6.9557185,0.17001016,0.17049272,4954.35897371139,171046.280483364,1177.51969962284,0.0144398807087678,-4.4060717,0.042993747,28.0747126436782,115.866096496582,0.750374853610992,3.99285125732422,86.5,118.819580078125,4,0.4914890229702,10,1,0.813669145107269,571.070068359375,29,245.993714245883,0.499063145707954,165.100402832031,0.184164776466787,0.0048130589100893,0.414482425115156,0.0031800594182693,3,0.8891325,7.0,1.0
