participant-ID,age,formative-years,gender,nationality,occupation,attentiveMusic,casualMusic,musicYears,musicSinger,musicMistakes,musicDifferences,musicOutOfTime,musicOutOfTune,musicMusician,musicProduction,musicImportance,musicActivities,musicAddiction,musicNewMusic,musicSearch,musicGenre,musicEvoke,musicMemories,musicShiver,musicExcite,musicTalk
_twp7r8zvn,18-24,India,Male,Indian,university,15-30,1-2hrs,0-1,sort-of-agree,sort-of-disagree,sort-of-agree,mostly-agree,mostly-agree,sort-of-disagree,sort-of-agree,7,mostly-agree,not-sure,strongly-agree,sort-of-agree,J-pop,strongly-disagree,mostly-agree,sort-of-disagree,mostly-agree,strongly-agree
_uwmh6xcmj,25-34,England,Female,White British,university,2-4 hrs,4+ hrs,10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,mostly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,Indie/Classical,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_videinyf6,25-34,Mexico,female,mexican,university,0-15,30-60,1-2,sort-of-agree,sort-of-disagree,not-sure,sort-of-agree,sort-of-agree,mostly-agree,strongly-disagree,5,mostly-agree,mostly-agree,sort-of-disagree,mostly-agree,pop,sort-of-agree,mostly-agree,mostly-agree,not-sure,sort-of-disagree
_vkc22esbd,35-44,Korea,Male,Korean,self-employment,0-15,1-2hrs,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,8,sort-of-disagree,sort-of-agree,mostly-agree,sort-of-agree,K-pop,sort-of-disagree,sort-of-agree,strongly-agree,strongly-agree,sort-of-agree
_w3jmue00l,25-34,Canada,Male,Canadian,university,0-15,30-60,10,mostly-agree,sort-of-disagree,strongly-agree,strongly-agree,mostly-agree,strongly-agree,strongly-agree,10,sort-of-agree,not-sure,mostly-agree,mostly-agree,Experimental Electronic,sort-of-disagree,strongly-agree,not-sure,sort-of-agree,mostly-agree
_w5xx418by,25-34,United Kingdom,female,british,university,30-60,30-60,0-1,strongly-agree,mostly-agree,strongly-agree,sort-of-agree,sort-of-agree,mostly-agree,strongly-agree,7,mostly-agree,mostly-agree,strongly-agree,strongly-agree,folk,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_w71uiooho,55-64,United Kingdom,M,Uk,self-employment,0-15,1-2hrs,0-1,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree,strongly-disagree,strongly-disagree,8,sort-of-disagree,not-sure,sort-of-agree,sort-of-agree,Punk,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree
_wln2pvrai,25-34,France,female,british,part-time-employment,1-2hrs,4+ hrs,0-1,mostly-agree,mostly-agree,sort-of-agree,sort-of-disagree,sort-of-agree,strongly-disagree,strongly-disagree,10,sort-of-agree,sort-of-agree,strongly-agree,mostly-agree,Indie Folk,strongly-disagree,strongly-agree,mostly-agree,strongly-agree,mostly-agree
_xmjx7myn8,25-34,United Kingdom,Male,British,full-time-employment,15-30,1-2hrs,6-10,sort-of-agree,sort-of-agree,sort-of-disagree,sort-of-disagree,sort-of-agree,sort-of-disagree,strongly-disagree,8,sort-of-disagree,not-sure,sort-of-disagree,sort-of-disagree,Drum and Bass,strongly-disagree,strongly-agree,sort-of-agree,mostly-agree,strongly-agree
_xxrru22vl,55-64,England,Male,British,full-time-employment,0-15,15-30,0-1,sort-of-agree,strongly-agree,sort-of-agree,not-sure,sort-of-agree,strongly-disagree,sort-of-disagree,7,mostly-agree,strongly-disagree,mostly-agree,sort-of-agree,Rock,strongly-disagree,mostly-agree,sort-of-disagree,sort-of-agree,sort-of-agree
_y2vhjrnid,18-24,UK,Female,UK,university,15-30,30-60,6-10,sort-of-agree,sort-of-disagree,sort-of-agree,sort-of-agree,sort-of-agree,mostly-agree,mostly-agree,8,sort-of-agree,sort-of-agree,not-sure,not-sure,Pop,strongly-disagree,mostly-agree,mostly-agree,mostly-agree,mostly-agree
_yl2fxbnro,25-34,Italy,male,Italian,university,1-2hrs,4+ hrs,0-1,strongly-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,mostly-agree,sort-of-agree,10,sort-of-agree,strongly-agree,sort-of-agree,mostly-agree,indie rock/pop,strongly-disagree,strongly-agree,mostly-agree,strongly-agree,strongly-agree
_z1rzh278d,55-64,Germany,male,German,self-employment,30-60,30-60,10,mostly-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,sort-of-disagree,9,not-sure,mostly-agree,mostly-agree,strongly-agree,classical,not-sure,mostly-agree,mostly-agree,sort-of-disagree,strongly-agree
_z3elirom8,25-34,England,Male,English,self-employment,4+ hrs,30-60,10,mostly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,10,strongly-agree,mostly-agree,mostly-agree,strongly-agree,Neoromantic Film/game Scores,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_z3s0aiaib,65,"Japan, United States",Male,American,retired,30-60,2-4 hrs,10,strongly-agree,strongly-disagree,strongly-agree,mostly-agree,strongly-agree,mostly-agree,mostly-agree,10,mostly-agree,mostly-agree,strongly-agree,strongly-agree,Classical,strongly-disagree,strongly-agree,strongly-agree,mostly-agree,strongly-agree
_za13pvot1,35-44,UK,male,British,part-time-employment,0-15,1-2hrs,0-1,sort-of-disagree,mostly-agree,mostly-agree,most-agree,mostly-agree,strongly-disagree,strongly-disagree,5,not-sure,not-sure,mostly-agree,mostly-agree,pop,sort-of-agree,not-sure,sort-of-disagree,sort-of-agree,not-sure
_zkj0ijgbp,45-54,England,Female,British,part-time-employment,0-15,1-2hrs,0-1,strongly-agree,mostly-agree,mostly-agree,strongly-agree,mostly-agree,sort-of-disagree,strongly-disagree,9,sort-of-agree,sort-of-agree,not-sure,sort-of-agree,Indie/guitar,strongly-disagree,strongly-agree,strongly-agree,mostly-agree,strongly-agree
_zzp8bmewa,18-24,Portugal,Female,Portuguese,university,15-30,30-60,10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,mostly-agree,mostly-agree,10,sort-of-agree,mostly-agree,mostly-agree,strongly-agree,Classical Music,strongly-agree,strongly-agree,mostly-agree,strongly-agree,strongly-agree
