participant-ID,age,formative-years,gender,nationality,occupation,attentiveMusic,casualMusic,musicYears,musicSinger,musicMistakes,musicDifferences,musicOutOfTime,musicOutOfTune,musicMusician,musicProduction,musicImportance,musicActivities,musicAddiction,musicNewMusic,musicSearch,musicGenre,musicEvoke,musicMemories,musicShiver,musicExcite,musicTalk
_houaqiz8i,25-34,United Kingdom,Male,British,university,2-4 hrs,4+ hrs,6-10,sort-of-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,not-sure,sort-of-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,Rock,strongly-disagree,strongly-agree,not-sure,mostly-agree,mostly-agree
_i8tjackqh,18-24,Chinese,Female,Chinese,university,30-60,15-30,4-6,mostly-agree,mostly-agree,sort-of-agree,mostly-agree,mostly-agree,not-sure,mostly-agree,10,mostly-agree,mostly-agree,sort-of-agree,mostly-agree,Pop music,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_ifyndni2c,25-34,England,Female,British,self-employment,0-15,2-4 hrs,0-1,sort-of-agree,mostly-agree,mostly-agree,most-agree,sort-of-disagree,strongly-disagree,strongly-disagree,7,mostly-agree,sort-of-agree,sort-of-disagree,sort-of-disagree,indie,mostly-agree,strongly-agree,strongly-agree,mostly-agree,strongly-agree
_iwnx3dty6,18-24,UK,Female/non-binary,British,part-time-employment,15-30,30-60,0-1,mostly-agree,sort-of-disagree,sort-of-agree,strongly-agree,strongly-agree,sort-of-agree,strongly-disagree,10,sort-of-agree,strongly-agree,mostly-agree,sort-of-disagree,Hip-hop,strongly-disagree,strongly-agree,mostly-agree,mostly-agree,sort-of-agree
_iyiy9r19k,35-44,Germany,male,German,other,0-15,0-15,2-4,mostly-agree,mostly-agree,strongly-agree,mostly-agree,mostly-agree,strongly-disagree,strongly-disagree,5,strongly-disagree,mostly-agree,sort-of-disagree,sort-of-disagree,dark wave,strongly-disagree,strongly-agree,sort-of-agree,sort-of-disagree,strongly-agree
_j1fs1s29c,18-24,England,Female,British,part-time-employment,1-2hrs,4+ hrs,6-10,mostly-agree,sort-of-disagree,strongly-agree,mostly-agree,mostly-agree,mostly-agree,strongly-disagree,10,sort-of-agree,strongly-agree,strongly-agree,strongly-agree,alternative,mostly-agree,strongly-agree,sort-of-agree,mostly-agree,mostly-agree
_kkir0atz9,35-44,Canada,Male,Canadian,other,15-30,0-15,10,mostly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,10,strongly-agree,mostly-agree,strongly-disagree,mostly-agree,Funk,strongly-disagree,strongly-agree,strongly-agree,not-sure,strongly-agree
_krp251jqe,25-34,UK,Male,British,university,0-15,0-15,1-2,not-sure,sort-of-agree,not-sure,most-agree,mostly-agree,strongly-disagree,strongly-disagree,8,sort-of-disagree,not-sure,strongly-agree,not-sure,Dance,mostly-agree,mostly-agree,sort-of-agree,strongly-agree,sort-of-agree
_l13lrys4u,25-34,United Kingdom,Female,British,full-time-employment,15-30,4+ hrs,0-1,mostly-agree,sort-of-disagree,mostly-agree,mostly-agree,mostly-agree,strongly-disagree,strongly-disagree,10,sort-of-disagree,strongly-agree,sort-of-agree,not-sure,Jazz hip hop,sort-of-disagree,strongly-agree,strongly-agree,strongly-agree,sort-of-agree
_lar3r139u,25-34,england,female,english,full-time-employment,0-15,30-60,0-1,sort-of-agree,not-sure,mostly-agree,sort-of-agree,sort-of-agree,strongly-disagree,strongly-disagree,9,sort-of-agree,mostly-agree,mostly-agree,strongly-agree,pop,mostly-agree,strongly-agree,not-sure,strongly-agree,strongly-agree
_lvnhd664l,55-64,England,Male,British,full-time-employment,15-30,30-60,0-1,mostly-agree,mostly-agree,not-sure,sort-of-disagree,not-sure,strongly-disagree,sort-of-disagree,9,sort-of-agree,mostly-agree,mostly-agree,mostly-agree,Varied - independent?,strongly-disagree,strongly-agree,mostly-agree,mostly-agree,mostly-agree
_mbznndod0,55-64,England,Female,Bristish,part-time-employment,0-15,0-15,1-2,mostly-agree,sort-of-disagree,sort-of-agree,mostly-agree,mostly-agree,mostly-agree,strongly-disagree,7,mostly-agree,sort-of-agree,mostly-agree,mostly-agree,Dance music,mostly-agree,sort-of-agree,mostly-agree,sort-of-agree,mostly-agree
_mw14wekne,25-34,France,Female,French,full-time-employment,15-30,15-30,10,sort-of-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree,strongly-agree,mostly-agree,8,sort-of-agree,sort-of-agree,sort-of-disagree,sort-of-disagree,Pop,mostly-agree,sort-of-agree,mostly-agree,strongly-agree,mostly-agree
_n7kwxb5sp,55-64,United Kingdom,male,British,part-time-employment,30-60,1-2hrs,10,strongly-agree,strongly-disagree,mostly-agree,strongly-agree,strongly-agree,mostly-agree,mostly-agree,10,mostly-agree,not-sure,sort-of-agree,mostly-agree,Choral,strongly-disagree,strongly-agree,mostly-agree,mostly-agree,strongly-agree
_ni2zvgszb,18-24,England,Male,Irish,full-time-employment,1-2hrs,2-4 hrs,6-10,not-sure,not-sure,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,Electronic,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_o8em397t4,25-34,england,male,british,full-time-employment,1-2hrs,4+ hrs,1-2,mostly-agree,strongly-disagree,sort-of-agree,strongly-agree,strongly-agree,sort-of-agree,strongly-agree,10,mostly-agree,strongly-agree,strongly-agree,strongly-agree,electronic,strongly-disagree,strongly-agree,mostly-agree,strongly-agree,strongly-agree
_ofa08nv3d,18-24,France,Cis Man,French,university,2-4 hrs,4+ hrs,6-10,strongly-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,9,mostly-agree,mostly-agree,mostly-agree,mostly-agree,RnB,strongly-disagree,mostly-agree,sort-of-agree,mostly-agree,mostly-agree
_oz57j9nkn,35-44,Enhgland,Male,British,full-time-employment,0-15,1-2hrs,6-10,sort-of-agree,mostly-agree,mostly-agree,strongly-agree,strongly-agree,not-sure,mostly-agree,8,not-sure,mostly-agree,sort-of-agree,mostly-agree,Pop Rock,sort-of-disagree,strongly-agree,not-sure,strongly-agree,mostly-agree
_p2k6xo9mj,25-34,England,Female,British,university,0-15,1-2hrs,1-2,sort-of-agree,sort-of-disagree,sort-of-agree,sort-of-agree,mostly-agree,strongly-disagree,strongly-disagree,7,sort-of-disagree,sort-of-agree,sort-of-agree,sort-of-disagree,Alternative / Indie,sort-of-disagree,mostly-agree,sort-of-agree,mostly-agree,sort-of-agree
_p44ad1wtv,25-34,Belgium,Male,Belgian,university,30-60,2-4 hrs,10,mostly-agree,mostly-agree,strongly-agree,strongly-agree,mostly-agree,strongly-agree,sort-of-disagree,10,mostly-agree,strongly-agree,strongly-agree,strongly-agree,Alternative music,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_pzsnt1bjf,25-34,england,male,brritish,part-time-employment,1-2hrs,2-4 hrs,1-2,mostly-agree,mostly-agree,mostly-agree,strongly-agree,mostly-agree,mostly-agree,not-sure,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,rock,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,sort-of-agree
_q1wrowbzf,18-24,united kingdom,male,british,full-time-employment,30-60,1-2hrs,6-10,mostly-agree,sort-of-disagree,sort-of-agree,mostly-agree,mostly-agree,mostly-agree,strongly-agree,9,mostly-agree,mostly-agree,sort-of-agree,sort-of-agree,indie rock,strongly-disagree,strongly-agree,mostly-agree,mostly-agree,mostly-agree
_q51241jcy,25-34,United Kingdom,Female,British,other,30-60,1-2hrs,6-10,sort-of-agree,sort-of-agree,not-sure,sort-of-disagree,sort-of-agree,sort-of-agree,strongly-disagree,9,sort-of-agree,strongly-agree,sort-of-disagree,sort-of-agree,Indie Rock,sort-of-disagree,mostly-agree,mostly-agree,mostly-agree,sort-of-agree
_qbyljwcqe,55-64,UK,Male,British,full-time-employment,0-15,30-60,0-1,not-sure,sort-of-disagree,sort-of-agree,sort-of-disagree,not-sure,strongly-disagree,strongly-disagree,6,sort-of-disagree,sort-of-disagree,sort-of-agree,not-sure,female vocals & rock groups,sort-of-disagree,strongly-agree,mostly-agree,sort-of-agree,not-sure
